新-帧ID（dec）,帧名称,
382,ObjectWorkStatus,1
381,ObjectStopWork,2
380,ObjectStartWork,3
372,ObjectWorkStatus,1
371,ObjectStopWork,2
370,ObjectStartWork,3
362,ObjectWorkStatus,1
361,ObjectStopWork,2
360,ObjectStartWork,3
352,ObjectWorkStatus,1
351,ObjectStopWork,2
350,ObjectStartWork,3
342,LaneWorkState,4
341,LaneStopWork,5
340,LaneStartWork,6
332,ObjectWorkStatus,1
331,ObjectStopWork,2
330,ObjectStartWork,3
322,LaneWorkStatus,7
321,LaneStopWork,5
320,LaneStartWork,6
312,ObjectWorkStatus,1
311,ObjectStopWork,2
310,ObjectStartWork,3
126,AllStopAcquire,8
125,AllGetStatus,9
124,AllStartWork,10
282,Object_Data_1,11
281,Object_Data_0,12
280,Object_Head,13
272,Object_Data_1,11
271,Object_Data_0,12
270,Object_Head,13
262,Object_Data_1,11
261,Object_Data_0,12
260,Object_Head,13
252,Object_Data_1,11
251,Object_Data_0,12
250,Object_Head,13
242,Lane_Data_1,14
241,Lane_Data_0,15
240,Lane_Head,16
232,Object_Data_1,11
231,Object_Data_0,12
230,Object_Head,13
222,Lane_Data_1,14
221,Lane_Data_0,15
220,Lane_Head,16
212,Object_Data_1,11
211,Object_Data_0,12
210,Object_Head,13
601,Radar_Data,17
602,Radar_Data,17
603,Radar_Data,17
604,Radar_Data,17
605,Radar_Data,17
606,Radar_Data,17
607,Radar_Data,17
608,Radar_Data,17
609,Radar_Data,17
610,Radar_Data,17
611,Radar_Data,17
612,Radar_Data,17
613,Radar_Data,17
614,Radar_Data,17
615,Radar_Data,17
616,Radar_Data,17
617,Radar_Data,17
618,Radar_Data,17
619,Radar_Data,17
620,Radar_Data,17
621,Radar_Data,17
622,Radar_Data,17
623,Radar_Data,17
624,Radar_Data,17
625,Radar_Data,17
626,Radar_Data,17
627,Radar_Data,17
628,Radar_Data,17
629,Radar_Data,17
630,Radar_Data,17
631,Radar_Data,17
632,Radar_Data,17
710,Control_Status,18
720,Control_Status,18
730,Control_Status,18
740,Control_Status,18
126,AllStopAcquire,8
125,AllGetStatus,9
124,AllStartWork,10
171,ControlStopWork1,19
172,ControlStopWork2,20
173,ControlStopWork3,21
174,ControlStopWork4,22
